module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.17.self_attn.v_proj,122,17,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.1740318253164292,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.17.self_attn.o_proj,123,17,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.2446484228965742,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.17.mlp.gate_proj,124,17,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.05176695800638349,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.17.mlp.up_proj,125,17,up_proj,mlp,mlp.up_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.09032728385354415,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
model.layers.17.mlp.down_proj,126,17,down_proj,mlp,mlp.down_proj,4096,11008,sparse_bf16,1.4621413645063197,5.968221653425413,3.4039856523906575,0.08013237503233611,0.0,dense_bf16,32
model.layers.18.self_attn.q_proj,127,18,q_proj,attention,self_attn.q_proj,4096,4096,sparse_bf16,0.30549668264433016,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.18.self_attn.k_proj,128,18,k_proj,attention,self_attn.k_proj,4096,4096,sparse_bf16,0.2354973451418822,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.18.self_attn.v_proj,129,18,v_proj,attention,self_attn.v_proj,4096,4096,sparse_bf16,1.2385370782310698,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.18.self_attn.o_proj,130,18,o_proj,attention,self_attn.o_proj,4096,4096,sparse_bf16,1.2957838667633739,2.451275,1.257995,0.03729,0.0,dense_bf16,32
model.layers.18.mlp.gate_proj,131,18,gate_proj,mlp,mlp.gate_proj,11008,4096,dense_nvfp4_prefill_marlin_decode,0.05607836961036014,4.843144552219444,3.0619853161530486,0.03806007449227619,0.5632368523135578,marlin_nvfp4,32
