method,policy,policy_kind,layer,linear_type,selected_modules,replaced_modules,runtime_path,activation_quantization,loss,loss_delta_vs_dense,ppl,loss_tokens,loss_sum,dense_loss
dense_nvfp4,layer_type:5:k_proj,layer_type,5,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9578145478802884,-7.390696008613418e-05,7.083828767336054,65408,128056.7339477539,1.9578884548403745
dense_nvfp4,layer_type:5:v_proj,layer_type,5,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958153979419029,0.00026552457865447465,7.086233650358208,65408,128078.93548583984,1.9578884548403745
dense_nvfp4,layer_type:5:o_proj,layer_type,5,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9585867595299349,0.0006983046895603362,7.089301095059967,65408,128107.24276733398,1.9578884548403745
dense_nvfp4,layer_type:5:gate_proj,layer_type,5,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958474373864101,0.0005859190237265111,7.088504404005268,65408,128099.89184570312,1.9578884548403745
dense_nvfp4,layer_type:5:up_proj,layer_type,5,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584612631751133,0.000572808334738717,7.088411469437858,65408,128099.03430175781,1.9578884548403745
dense_nvfp4,layer_type:5:down_proj,layer_type,5,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9577089914370422,-0.00017946340333230282,7.083081063030007,65408,128049.82971191406,1.9578884548403745
dense_nvfp4,layer_type:6:q_proj,layer_type,6,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581755490685628,0.00028709422818828934,7.086386499583008,65408,128080.34631347656,1.9578884548403745
dense_nvfp4,layer_type:6:k_proj,layer_type,6,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.957867468406543,-2.0986433831637896e-05,7.084203657201915,65408,128060.19537353516,1.9578884548403745
dense_nvfp4,layer_type:6:v_proj,layer_type,6,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958268037747497,0.00037958290712247766,7.087041940418732,65408,128086.39581298828,1.9578884548403745
dense_nvfp4,layer_type:6:o_proj,layer_type,6,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9579632916795764,7.48368392018417e-05,7.084882521308154,65408,128066.46298217773,1.9578884548403745
dense_nvfp4,layer_type:6:gate_proj,layer_type,6,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9577126339690325,-0.00017582087134204727,7.083106863426358,65408,128050.06796264648,1.9578884548403745
dense_nvfp4,layer_type:6:up_proj,layer_type,6,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584595993773577,0.000571144536983148,7.088399675764576,65408,128098.92547607422,1.9578884548403745
dense_nvfp4,layer_type:6:down_proj,layer_type,6,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.958284142432614,0.0003956875922395131,7.08715607591665,65408,128087.44918823242,1.9578884548403745
dense_nvfp4,layer_type:7:q_proj,layer_type,7,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581558615727435,0.0002674067323689133,7.086246987751746,65408,128079.05859375,1.9578884548403745
dense_nvfp4,layer_type:7:k_proj,layer_type,7,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9575534538746813,-0.0003350009656932773,7.081979463539729,65408,128039.65631103516,1.9578884548403745
dense_nvfp4,layer_type:7:v_proj,layer_type,7,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9584286114940905,0.0005401566537159841,7.088180024666151,65408,128096.89862060547,1.9578884548403745
dense_nvfp4,layer_type:7:o_proj,layer_type,7,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581941261216853,0.0003056712813107598,7.086518144984245,65408,128081.56140136719,1.9578884548403745
dense_nvfp4,layer_type:7:gate_proj,layer_type,7,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9573806419297908,-0.0005078129105837714,7.0807557186368735,65408,128028.35302734375,1.9578884548403745
dense_nvfp4,layer_type:7:up_proj,layer_type,7,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9574760508863893,-0.0004124039539852298,7.081431318380538,65408,128034.59353637695,1.9578884548403745
dense_nvfp4,layer_type:7:down_proj,layer_type,7,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9583274077062738,0.00043895286589923366,7.087462710297006,65408,128090.27908325195,1.9578884548403745
dense_nvfp4,layer_type:8:q_proj,layer_type,8,q_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9578582554647368,-3.0199375637751658e-05,7.084138391146525,65408,128059.5927734375,1.9578884548403745
dense_nvfp4,layer_type:8:k_proj,layer_type,8,k_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580387597914544,0.000150304951079816,7.08541722419117,65408,128071.39920043945,1.9578884548403745
dense_nvfp4,layer_type:8:v_proj,layer_type,8,v_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9588474653471706,0.000959010506796032,7.091149558037641,65408,128124.29501342773,1.9578884548403745
dense_nvfp4,layer_type:8:o_proj,layer_type,8,o_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9579818150768542,9.336023647965597e-05,7.08501375861724,65408,128067.67456054688,1.9578884548403745
dense_nvfp4,layer_type:8:gate_proj,layer_type,8,gate_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9581044756036448,0.00021602076327020825,7.0858828634385285,65408,128075.6975402832,1.9578884548403745
dense_nvfp4,layer_type:8:up_proj,layer_type,8,up_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9580137668990343,0.00012531205865973227,7.085240141333649,65408,128069.76446533203,1.9578884548403745
dense_nvfp4,layer_type:8:down_proj,layer_type,8,down_proj,1,1,selected_compressed_weight_to_real_kernel_module,runtime_kernel,1.9583170894540687,0.00042863461369413436,7.087389580446553,65408,128089.60418701172,1.9578884548403745
