module_name,module_index,layer,module_type,module_family,linear_group,n,k,selected_method,quality_cost,latency_cost,prefill_ms,decode_ms,conversion_ms,decode_backend,output_tokens
model.layers.12.self_attn.q_proj,85,12,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.015712721349131792,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.12.self_attn.k_proj,86,12,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.12.self_attn.v_proj,87,12,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.12.self_attn.o_proj,88,12,o_proj,attention,self_attn.o_proj,4096,4096,marlin_nvfp4,0.20969949182292674,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.12.mlp.gate_proj,89,12,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.03704267680998628,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.12.mlp.up_proj,90,12,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.08657994937764577,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.12.mlp.down_proj,91,12,down_proj,mlp,mlp.down_proj,4096,14336,dense_nvfp4_prefill_marlin_decode,0.12036117103961219,17.022933289828373,6.33261076343214,0.03920826583956087,0.6530064714686507,marlin_nvfp4,256
model.layers.13.self_attn.q_proj,92,13,q_proj,attention,self_attn.q_proj,4096,4096,marlin_nvfp4,0.026649923086696264,11.485318,2.398342,0.035496,0.0,marlin_nvfp4,256
model.layers.13.self_attn.k_proj,93,13,k_proj,attention,self_attn.k_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.13.self_attn.v_proj,94,13,v_proj,attention,self_attn.v_proj,1024,4096,dense_bf16,0.0,7.023576,0.765144,0.024447,0.0,dense_bf16,256
model.layers.13.self_attn.o_proj,95,13,o_proj,attention,self_attn.o_proj,4096,4096,dense_bf16,0.0,11.987597999999998,2.441358,0.03729,0.0,dense_bf16,256
model.layers.13.mlp.gate_proj,96,13,gate_proj,mlp,mlp.gate_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.03489474438432588,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
model.layers.13.mlp.up_proj,97,13,up_proj,mlp,mlp.up_proj,14336,4096,dense_nvfp4_prefill_marlin_decode,0.08795696763586902,13.934464835121283,3.520869864050379,0.038116023621595364,0.65589292394249,marlin_nvfp4,256
