n,seed,accuracy,abs_error
2000,6,0.986,0.0010000000000000009
2000,7,0.9855,0.0014999999999999458
2000,8,0.9885,0.0015000000000000568
2000,9,0.9835,0.0034999999999999476
2000,10,0.987,0.0
2000,11,0.985,0.0020000000000000018
2000,12,0.988,0.0010000000000000009
2000,13,0.988,0.0010000000000000009
2000,14,0.9865,0.0004999999999999449
2000,15,0.982,0.0050000000000000044
2000,16,0.989,0.0020000000000000018
2000,17,0.9885,0.0015000000000000568
2000,18,0.987,0.0
2000,19,0.988,0.0010000000000000009
2000,20,0.9865,0.0004999999999999449
2000,21,0.983,0.0040000000000000036
2000,22,0.988,0.0010000000000000009
2000,23,0.987,0.0
2000,24,0.9865,0.0004999999999999449
2000,25,0.989,0.0020000000000000018
2000,26,0.984,0.0030000000000000027
2000,27,0.991,0.0040000000000000036
2000,28,0.988,0.0010000000000000009
2000,29,0.9875,0.000500000000000056
3000,0,0.985,0.0020000000000000018
3000,1,0.988,0.0010000000000000009
3000,2,0.9853333333333333,0.0016666666666667052
3000,3,0.986,0.0010000000000000009
3000,4,0.986,0.0010000000000000009
3000,5,0.9883333333333333,0.0013333333333332975
3000,6,0.985,0.0020000000000000018
3000,7,0.987,0.0
3000,8,0.986,0.0010000000000000009
3000,9,0.9856666666666667,0.0013333333333332975
3000,10,0.986,0.0010000000000000009
3000,11,0.9866666666666667,0.0003333333333332966
3000,12,0.9876666666666667,0.0006666666666667043
3000,13,0.988,0.0010000000000000009
3000,14,0.9883333333333333,0.0013333333333332975
3000,15,0.9846666666666667,0.0023333333333332984
3000,16,0.988,0.0010000000000000009
3000,17,0.9863333333333333,0.0006666666666667043
3000,18,0.9856666666666667,0.0013333333333332975
3000,19,0.987,0.0
3000,20,0.9883333333333333,0.0013333333333332975
3000,21,0.9846666666666667,0.0023333333333332984
3000,22,0.9846666666666667,0.0023333333333332984
3000,23,0.9883333333333333,0.0013333333333332975
3000,24,0.9863333333333333,0.0006666666666667043
3000,25,0.987,0.0
3000,26,0.9846666666666667,0.0023333333333332984
3000,27,0.9903333333333333,0.0033333333333332993
3000,28,0.9863333333333333,0.0006666666666667043
3000,29,0.986,0.0010000000000000009
4000,0,0.9865,0.0004999999999999449
4000,1,0.9885,0.0015000000000000568
4000,2,0.986,0.0010000000000000009
4000,3,0.98625,0.0007500000000000284
4000,4,0.98625,0.0007500000000000284
4000,5,0.98725,0.00024999999999997247
4000,6,0.9865,0.0004999999999999449
4000,7,0.9865,0.0004999999999999449
4000,8,0.9865,0.0004999999999999449
4000,9,0.986,0.0010000000000000009
4000,10,0.9865,0.0004999999999999449
4000,11,0.98725,0.00024999999999997247
4000,12,0.9875,0.000500000000000056
4000,13,0.9885,0.0015000000000000568
4000,14,0.9875,0.000500000000000056
4000,15,0.9855,0.0014999999999999458
4000,16,0.98675,0.00024999999999997247
4000,17,0.9855,0.0014999999999999458
4000,18,0.986,0.0010000000000000009
4000,19,0.98725,0.00024999999999997247
4000,20,0.98825,0.0012499999999999734
4000,21,0.98575,0.0012499999999999734
4000,22,0.986,0.0010000000000000009
4000,23,0.988,0.0010000000000000009
4000,24,0.988,0.0010000000000000009
4000,25,0.9855,0.0014999999999999458
4000,26,0.9865,0.0004999999999999449
4000,27,0.98725,0.00024999999999997247
4000,28,0.9865,0.0004999999999999449
4000,29,0.9865,0.0004999999999999449
