name,backend,n,k,predicted_latency_ms,reason
backbone.layer.29.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.29.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.29.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.29.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.29.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.29.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.30.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.30.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.30.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.30.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.30.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.30.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.30.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.31.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.31.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.31.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.31.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.31.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.31.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.31.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.32.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.32.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.32.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.32.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.32.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.32.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.32.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.33.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.33.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.33.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.33.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.33.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.33.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.33.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.34.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.34.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.34.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.34.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.34.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.34.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.34.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.35.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.35.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.35.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.35.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.35.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.35.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.35.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.36.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.36.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.36.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.36.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.36.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.36.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.36.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.37.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.37.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.37.attention.q_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.37.attention.o_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.37.mlp.gate_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.37.mlp.up_proj,dense_bf16,8192,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.37.mlp.down_proj,dense_bf16,4096,8192,,fallback_dense_bf16_no_supported_prediction
backbone.layer.38.attention.k_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
backbone.layer.38.attention.v_proj,dense_bf16,4096,4096,,fallback_dense_bf16_no_supported_prediction
